Brand,Model,Rank,Benchmark,Samples,URL
Nvidia,RTX 3090,1,232,24031,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081
Nvidia,Quadro RTX A6000,2,207,1,https://gpu.userbenchmark.com/SpeedTest/1300600/NVIDIA-Quadro-RTX-A6000
Nvidia,RTX 3080,3,204,78061,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
AMD,RX 6900-XT,4,190,966,https://gpu.userbenchmark.com/AMD-RX-6900-XT/Rating/4091
Nvidia,Titan RTX,5,185,1486,https://gpu.userbenchmark.com/SpeedTest/664199/NVIDIA-TITAN-RTX
Nvidia,NVidia Titan RTX 24GB,5,185,1486,https://gpu.userbenchmark.com/SpeedTest/664199/NVIDIA-TITAN-RTX
Nvidia,RTX 2080-Ti,6,176,242889,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
Nvidia,Quadro RTX 8000,7,175,162,https://gpu.userbenchmark.com/SpeedTest/762332/NVIDIA-Quadro-RTX-8000
Nvidia,Quadro RTX 6000,8,171,478,https://gpu.userbenchmark.com/SpeedTest/736712/NVIDIA-Quadro-RTX-6000
AMD,RX 6800-XT,9,165,2211,https://gpu.userbenchmark.com/AMD-RX-6800-XT/Rating/4089
Nvidia,Titan V,10,159,690,https://gpu.userbenchmark.com/SpeedTest/395529/NVIDIA-TITAN-V
Nvidia,RTX 3070,11,153,82730,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
Nvidia,Titan Xp,12,142,5903,https://gpu.userbenchmark.com/SpeedTest/265423/NVIDIA-TITAN-Xp
Nvidia,RTX 2080S (Super),13,138,146703,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
AMD,RX 6800,14,137,2538,https://gpu.userbenchmark.com/AMD-RX-6800/Rating/4088
Nvidia,GTX 1080-Ti,15,136,604866,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
Nvidia,Quadro RTX 5000,16,132,876,https://gpu.userbenchmark.com/SpeedTest/712800/NVIDIA-Quadro-RTX-5000
Nvidia,Titan X Pascal,17,131,6204,https://gpu.userbenchmark.com/SpeedTest/158352/NVIDIA-TITAN-X-Pascal
Nvidia,NVidia Titan X Pascal 12GB,17,131,6204,https://gpu.userbenchmark.com/SpeedTest/158352/NVIDIA-TITAN-X-Pascal
Nvidia,RTX 3060-Ti,18,131,23858,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090
Nvidia,Quadro P6000,19,130,528,https://gpu.userbenchmark.com/SpeedTest/187394/NVIDIA-Quadro-P6000
Nvidia,RTX 2080,20,129,209298,https://gpu.userbenchmark.com/Nvidia-RTX-2080/Rating/4026
Nvidia,RTX 2080S (Super Mobile),21,120,558,https://gpu.userbenchmark.com/SpeedTest/1188513/NVIDIA-GeForce-RTX-2080-Super
Nvidia,RTX 2070S (Super),22,118,403865,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048
Nvidia,RTX 2080 (Mobile),23,112,2630,https://gpu.userbenchmark.com/SpeedTest/700275/NVIDIA-GeForce-RTX-2080
AMD,Radeon-VII,24,111,8790,https://gpu.userbenchmark.com/AMD-Radeon-VII/Rating/4035
AMD,Asus Radeon VII 16GB,24,111,8790,https://gpu.userbenchmark.com/AMD-Radeon-VII/Rating/4035
AMD,RX 5700-XT,25,107,307597,https://gpu.userbenchmark.com/AMD-RX-5700-XT/Rating/4045
AMD,Asus RX 5700 XT 8GB,25,107,307597,https://gpu.userbenchmark.com/AMD-RX-5700-XT/Rating/4045
AMD,RX 5700XT 50th Anniversary,26,107,2896,https://gpu.userbenchmark.com/SpeedTest/845537/AMD-Radeon-RX-5700-XT-50th-Anniversary
Nvidia,GTX 1080,27,106,786866,https://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
Nvidia,RTX 2070,28,106,326115,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
Nvidia,Quadro GP100,29,104,95,https://gpu.userbenchmark.com/SpeedTest/279788/NVIDIA-Quadro-GP100
AMD,RX Vega-64LC (Liquid Cooled),30,99.2,3161,https://gpu.userbenchmark.com/SpeedTest/353890/Radeon-RX-Vega
Nvidia,RTX 2060S (Super),31,98.7,180456,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
Nvidia,GTX 1070-Ti,32,96.9,285775,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
Nvidia,RTX 2070S (Super Mobile),33,96.4,2264,https://gpu.userbenchmark.com/SpeedTest/1164515/NVIDIA-GeForce-RTX-2070-Super
Nvidia,GTX 1080 (Mobile),34,96.3,11649,https://gpu.userbenchmark.com/SpeedTest/165564/NVIDIA-GeForce-GTX-1080
Nvidia,RTX 2080S (Super Mobile Max-Q),35,96.1,1394,https://gpu.userbenchmark.com/SpeedTest/1114823/NVIDIA-GeForce-RTX-2080-Super-with-Max-Q-Design
Nvidia,Quadro RTX 4000,36,95,2893,https://gpu.userbenchmark.com/SpeedTest/716215/NVIDIA-Quadro-RTX-4000
AMD,RX Vega-64,37,94.1,64945,https://gpu.userbenchmark.com/AMD-RX-Vega-64/Rating/3933
Nvidia,Quadro P5000,38,94,6055,https://gpu.userbenchmark.com/SpeedTest/197331/NVIDIA-Quadro-P5000
Nvidia,RTX 2070 (Mobile),39,90.8,10578,https://gpu.userbenchmark.com/SpeedTest/694798/NVIDIA-GeForce-RTX-2070
AMD,RX 5700,40,90.4,49382,https://gpu.userbenchmark.com/AMD-RX-5700/Rating/4046
AMD,Vega Frontier Edition,41,90.1,1451,https://gpu.userbenchmark.com/AMD-Vega-Frontier-Edition/Rating/3929
